Time of Day,Time,Image Counts,Pyrometer,Spin_Motor,Dispense X,Dispense Z,Gas Quenching,Sine,BK Set Amps,BK Set Volts,BK Amps,BK Volts,BK Power,2D Image,Spectrometer
-0.72953864,-0.31848168,-0.33893795,0.0,0.0,0.0,0.0,2662432.0,0.0,0.0,..\..\..\..\..\..\..,..\MAPI_1pct_ABA_S1_30_tube_5min,3294,Spectrums\MAPI_1pct_ABA_S1_30_tube_5min,3294,002.txt
-0.72980003,-0.31859097,-0.33872001,0.0,0.0,0.0,0.0,2662416.0,0.0,0.0,..\..\..\..\..\..\..,..\MAPI_1pct_ABA_S1_30_tube_5min,3294,Spectrums\MAPI_1pct_ABA_S1_30_tube_5min,3294,003.txt
-0.72869478,-0.31848947,-0.33703846,0.0,0.0,0.0,0.0,2662416.0,0.0,0.0,..\..\..\..\..\..\..,..\MAPI_1pct_ABA_S1_30_tube_5min,3294,Spectrums\MAPI_1pct_ABA_S1_30_tube_5min,3294,004.txt
-0.73008381,-0.31862665,-0.33792448,0.0,0.0,0.0,0.0,2662416.0,0.0,0.0,..\..\..\..\..\..\..,..\MAPI_1pct_ABA_S1_30_tube_5min,3294,Spectrums\MAPI_1pct_ABA_S1_30_tube_5min,3294,006.txt
-0.72913066,-0.31841877,-0.33747531,0.0,0.0,0.0,0.0,2662416.0,0.0,0.0,..\..\..\..\..\..\..,..\MAPI_1pct_ABA_S1_30_tube_5min,3294,Spectrums\MAPI_1pct_ABA_S1_30_tube_5min,3294,007.txt
-0.72973906,-0.31878913,-0.33880563,0.0,0.0,0.0,0.0,2663208.0,0.0,0.0,..\..\..\..\..\..\..,..\MAPI_1pct_ABA_S1_30_tube_5min,3294,Spectrums\MAPI_1pct_ABA_S1_30_tube_5min,3294,008.txt
-0.73014997,-0.31857962,-0.33866877,0.0,0.0,0.0,0.0,2662384.0,0.0,0.0,..\..\..\..\..\..\..,..\MAPI_1pct_ABA_S1_30_tube_5min,3294,Spectrums\MAPI_1pct_ABA_S1_30_tube_5min,3294,009.txt
-0.72923865,-0.31870416,-0.33668593,0.0,0.0,0.0,0.0,2662368.0,0.0,0.0,..\..\..\..\..\..\..,..\MAPI_1pct_ABA_S1_30_tube_5min,3294,Spectrums\MAPI_1pct_ABA_S1_30_tube_5min,3294,010.txt
-0.72980133,-0.31870059,-0.33840543,0.0,0.0,0.0,0.0,2662368.0,0.0,0.0,..\..\..\..\..\..\..,..\MAPI_1pct_ABA_S1_30_tube_5min,3294,Spectrums\MAPI_1pct_ABA_S1_30_tube_5min,3294,012.txt
-0.73018175,-0.31842655,-0.33829679,0.0,0.0,0.0,0.0,2662368.0,0.0,0.0,..\..\..\..\..\..\..,..\MAPI_1pct_ABA_S1_30_tube_5min,3294,Spectrums\MAPI_1pct_ABA_S1_30_tube_5min,3294,013.txt
-0.7293687,-0.318638,-0.33742471,0.0,0.0,0.0,0.0,2662368.0,0.0,0.0,..\..\..\..\..\..\..,..\MAPI_1pct_ABA_S1_30_tube_5min,3294,Spectrums\MAPI_1pct_ABA_S1_30_tube_5min,3294,014.txt
-0.72875608,-0.31854849,-0.33793972,0.0,0.0,0.0,0.0,2662384.0,0.0,0.0,..\..\..\..\..\..\..,..\MAPI_1pct_ABA_S1_30_tube_5min,3294,Spectrums\MAPI_1pct_ABA_S1_30_tube_5min,3294,015.txt
-0.7275678,-0.31835358,-0.33759498,0.0,0.0,0.0,0.0,2662384.0,0.0,0.0,..\..\..\..\..\..\..,..\MAPI_1pct_ABA_S1_30_tube_5min,3294,Spectrums\MAPI_1pct_ABA_S1_30_tube_5min,3294,016.txt
-0.72703269,-0.31841066,-0.33778243,0.0,0.0,0.0,0.0,2662384.0,0.0,0.0,..\..\..\..\..\..\..,..\MAPI_1pct_ABA_S1_30_tube_5min,3294,Spectrums\MAPI_1pct_ABA_S1_30_tube_5min,3294,017.txt
-0.72588981,-0.31838633,-0.33856596,0.0,0.0,0.0,0.0,2662384.0,0.0,0.0,..\..\..\..\..\..\..,..\MAPI_1pct_ABA_S1_30_tube_5min,3294,Spectrums\MAPI_1pct_ABA_S1_30_tube_5min,3294,019.txt
-0.7359386,-0.31887799,-0.3389039,0.0,0.0,0.0,0.0,2662384.0,0.0,0.0,..\..\..\..\..\..\..,..\MAPI_1pct_ABA_S1_30_tube_5min,3294,Spectrums\MAPI_1pct_ABA_S1_30_tube_5min,3294,020.txt
-0.728579,-0.31856406,-0.33745293,0.0,0.0,0.0,0.0,2662384.0,0.0,0.0,..\..\..\..\..\..\..,..\MAPI_1pct_ABA_S1_30_tube_5min,3294,Spectrums\MAPI_1pct_ABA_S1_30_tube_5min,3294,021.txt
-0.72746597,-0.31857216,-0.33784016,0.0,0.0,0.0,0.0,2663088.0,0.0,0.0,..\..\..\..\..\..\..,..\MAPI_1pct_ABA_S1_30_tube_5min,3294,Spectrums\MAPI_1pct_ABA_S1_30_tube_5min,3294,022.txt
-0.72727689,-0.31859616,-0.33720742,0.0,0.0,0.0,0.0,2662368.0,0.0,0.0,..\..\..\..\..\..\..,..\MAPI_1pct_ABA_S1_30_tube_5min,3294,Spectrums\MAPI_1pct_ABA_S1_30_tube_5min,3294,023.txt
-0.7272863,-0.31841617,-0.33849364,0.0,0.0,0.0,0.0,2662368.0,0.0,0.0,..\..\..\..\..\..\..,..\MAPI_1pct_ABA_S1_30_tube_5min,3294,Spectrums\MAPI_1pct_ABA_S1_30_tube_5min,3294,025.txt
-0.72837371,-0.31862957,-0.33796696,0.0,0.0,0.0,0.0,2662368.0,0.0,0.0,..\..\..\..\..\..\..,..\MAPI_1pct_ABA_S1_30_tube_5min,3294,Spectrums\MAPI_1pct_ABA_S1_30_tube_5min,3294,026.txt
